,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,-0.78103,-0.63375,-0.03665,0.27516999999999997,False,F,0.0,-1.4842159476807184,-2.3513,1.4209200000000002
1,0.42649,-0.5001899999999999,0.006959999999999999,0.11817000000000001,False,F,0.0,0.0,-5.12219,1.87723
2,1.86817,-0.45565,0.07658,0.09662000000000001,False,F,0.027595711590799085,0.0,-1.6711099999999999,2.07828
3,-1.80073,0.08535,-0.024669999999999997,0.14032,False,F,0.7070155683679334,0.0,2.41329,-0.62963
4,1.5694299999999999,-1.2586,-0.020919999999999998,0.22266999999999998,False,F,0.0,0.0,-1.58241,2.28423
5,0.14361,-0.37353000000000003,-1.01562,1.0036399999999999,False,F,0.0,-1.557794679282262,-0.29281999999999997,3.84481
6,-0.34399,-1.16045,0.21745,0.07107000000000001,False,F,0.0,-3.428363049734925,-3.17673,1.74463
7,-0.05407000000000001,-0.47607,-0.5684100000000001,0.6520699999999999,False,F,0.0,0.0,-0.44893999999999995,2.5857200000000002
8,-0.71673,-0.27255999999999997,-0.38471,0.50048,False,F,0.0,0.4672749096744777,-1.92357,0.05368
9,-0.13301,0.31355,-0.92791,0.8810100000000001,False,F,-1.3784849342284087,0.0,-1.00409,1.1589200000000002
10,-1.12513,-0.24434,-0.94695,0.95083,False,F,-2.8009881967614794,0.0,0.7119300000000001,1.96878
11,0.78906,0.40426,-0.00116,0.10488,True,E,0.0,0.0,-2.0770299999999997,-1.22726
12,-0.7181,-0.56698,-0.43278,0.53287,False,F,0.0,0.0,-3.09878,2.17475
13,2.16735,0.93905,-1.03496,1.03196,False,A,0.9767120389058926,-0.19153587856826762,2.71017,3.20733
14,0.9344899999999999,-1.06762,-0.15542,0.25597,False,F,0.0,0.0,-1.5751899999999999,-0.78049
15,-0.13716,0.9880700000000001,-0.47833000000000003,0.5532699999999999,True,A,0.0,0.8021674909914569,-1.6690900000000002,0.71396
16,1.6408599999999998,-0.8367399999999999,-0.0888,0.1754,False,F,0.0,0.0,-3.65289,2.70455
17,-0.24656999999999998,-0.07476000000000001,-1.12696,1.0254299999999998,False,F,0.6480765901910436,0.0,3.8505,-0.50942
18,-1.39105,1.68688,0.03726,0.04848,True,A,0.0,-0.4775198050595181,-0.60832,1.04426
19,-2.9670799999999997,1.62705,-1.1127,1.19202,True,A,0.1674363192945088,0.09269767928560235,-2.8081099999999997,0.95783
20,-0.67375,1.40739,-1.26911,1.2473299999999998,True,A,0.12866582492437587,0.0,-2.8185599999999997,1.7421900000000001
21,-1.9678400000000003,1.61617,-0.16492,0.32093,True,A,0.0,0.0,-1.74375,-0.136
22,0.65774,-0.70778,-0.37127,0.37774,False,F,0.3955090439052273,0.0,-1.02457,0.49156000000000005
23,0.15784,-2.24538,-1.03,1.11114,False,F,1.1138883466206257,-2.115358916866636,3.63352,-2.6813599999999997
24,-0.474,0.19012,-0.18707000000000001,0.25444,False,F,0.32376324702272924,0.0,1.1064100000000001,0.45273
25,-2.09138,0.25866,-0.0818,0.3252,False,E,0.0,0.0,-2.7488799999999998,2.42036
26,-1.08743,-1.89897,-0.1762,0.25431,False,F,0.0,0.0,-2.5321700000000003,-0.74603
27,0.08786000000000001,1.01337,-0.35291,0.51647,True,A,0.6206087452693457,0.0,4.078,0.842
28,-1.12978,0.5158,-0.53877,0.66559,False,D,0.0,-4.203713099277466,-2.58359,-1.38839
